order_id,customer_id,order_date,product,quantity,unit_price,order_status
100001,C0759,2024-02-11,Mouse,1,25,CANCELLED
100002,C0986,2024-02-20,Keyboard,1,75,COMPLETED
100003,C0418,2024-01-26,Headphones,3,150,PENDING
100004,C0732,2024-04-07,Keyboard,1,75,CANCELLED
100005,C0576,2024-01-19,Mouse,2,25,COMPLETED
100006,C0214,2024-01-10,Headphones,2,150,COMPLETED
100007,C0171,2024-04-29,Headphones,2,150,COMPLETED
100008,C0468,2024-03-03,Keyboard,3,75,COMPLETED
100009,C0949,2024-03-09,Keyboard,1,75,COMPLETED
100010,C0642,2024-01-15,Headphones,3,150,COMPLETED
100011,C0354,2024-03-06,Mouse,3,25,PENDING
100012,C0064,2024-02-24,Mouse,1,25,CANCELLED
100013,C0293,2024-01-08,Headphones,2,150,COMPLETED
100014,C0939,2024-02-20,Mouse,3,25,COMPLETED
100015,C0846,2024-02-20,Mouse,2,25,COMPLETED
100016,C0364,2024-04-26,Laptop,1,1200,COMPLETED
100017,C0769,2024-02-26,Mouse,2,25,COMPLETED
100018,C0616,2024-04-09,Laptop,3,1200,COMPLETED
100019,C0757,2024-03-04,Monitor,1,300,COMPLETED
100020,C0597,2024-01-03,Mouse,1,25,COMPLETED
100021,C0029,2024-04-03,Headphones,1,150,COMPLETED
100022,C0517,2024-03-17,Headphones,2,150,COMPLETED
100023,C0420,2024-01-16,Headphones,2,150,COMPLETED
100024,C0319,2024-01-17,Monitor,1,300,COMPLETED
100025,C0643,2024-01-18,Headphones,3,150,PENDING
100026,C0691,2024-03-10,Laptop,3,1200,COMPLETED
100027,C0791,2024-02-19,Keyboard,2,75,PENDING
100028,C0115,2024-02-19,Keyboard,3,75,CANCELLED
100029,C0508,2024-01-26,Keyboard,2,75,COMPLETED
100030,C0373,2024-04-12,Mouse,1,25,COMPLETED
100031,C0084,2024-04-18,Mouse,1,25,PENDING
100032,C0920,2024-03-13,Monitor,3,300,COMPLETED
100033,C0682,2024-04-20,Monitor,3,300,COMPLETED
100034,C0603,2024-02-05,Headphones,3,150,COMPLETED
100035,C0367,2024-02-07,Keyboard,2,75,COMPLETED
100036,C0738,2024-03-11,Monitor,2,300,COMPLETED
100037,C0435,2024-03-11,Monitor,2,300,COMPLETED
100038,C0238,2024-04-22,Monitor,2,300,COMPLETED
100039,C0615,2024-03-13,Headphones,1,150,COMPLETED
100040,C0156,2024-01-18,Laptop,1,1200,COMPLETED
100041,C0379,2024-04-23,Headphones,1,150,PENDING
100042,C0951,2024-02-02,Mouse,1,25,COMPLETED
100043,C0134,2024-04-27,Monitor,3,300,PENDING
100044,C0260,2024-01-05,Laptop,3,1200,COMPLETED
100045,C0630,2024-01-31,Headphones,3,150,COMPLETED
100046,C0216,2024-03-01,Keyboard,1,75,COMPLETED
100047,C0262,2024-04-12,Laptop,3,1200,COMPLETED
100048,C0820,2024-04-03,Laptop,2,1200,CANCELLED
100049,C0610,2024-01-30,Mouse,1,25,COMPLETED
100050,C0216,2024-01-18,Keyboard,1,75,COMPLETED
100051,C0926,2024-03-10,Laptop,1,1200,COMPLETED
100052,C0167,2024-04-19,Laptop,2,1200,COMPLETED
100053,C0223,2024-01-20,Headphones,1,150,COMPLETED
100054,C0396,2024-02-02,Laptop,2,1200,COMPLETED
100055,C0946,2024-03-22,Monitor,2,300,CANCELLED
100056,C0447,2024-01-04,Laptop,1,1200,COMPLETED
100057,C0093,2024-01-24,Mouse,1,25,PENDING
100058,C0952,2024-04-30,Keyboard,3,75,COMPLETED
100059,C0492,2024-02-23,Headphones,1,150,COMPLETED
100060,C0634,2024-02-14,Laptop,2,1200,COMPLETED
100061,C0565,2024-04-29,Laptop,2,1200,CANCELLED
100062,C0657,2024-01-27,Monitor,2,300,COMPLETED
100063,C0647,2024-03-31,Monitor,1,300,COMPLETED
100064,C0041,2024-04-26,Headphones,2,150,COMPLETED
100065,C0299,2024-04-26,Keyboard,2,75,COMPLETED
100066,C0118,2024-02-23,Laptop,1,1200,COMPLETED
100067,C0041,2024-01-11,Keyboard,2,75,CANCELLED
100068,C0200,2024-03-15,Mouse,2,25,COMPLETED
100069,C0296,2024-01-09,Keyboard,3,75,COMPLETED
100070,C0463,2024-02-11,Keyboard,2,75,COMPLETED
100071,C0253,2024-03-05,Keyboard,1,75,COMPLETED
100072,C0137,2024-01-21,Headphones,1,150,COMPLETED
100073,C0677,2024-01-19,Keyboard,2,75,PENDING
100074,C0277,2024-01-12,Laptop,2,1200,COMPLETED
100075,C0672,2024-04-29,Mouse,3,25,COMPLETED
100076,C0607,2024-02-11,Laptop,3,1200,PENDING
100077,C0014,2024-03-12,Monitor,3,300,PENDING
100078,C0197,2024-02-10,Monitor,2,300,COMPLETED
100079,C0220,2024-02-12,Headphones,2,150,COMPLETED
100080,C0787,2024-04-10,Laptop,2,1200,COMPLETED
100081,C0879,2024-01-19,Headphones,1,150,COMPLETED
100082,C0747,2024-02-22,Monitor,3,300,COMPLETED
100083,C0789,2024-01-06,Monitor,1,300,COMPLETED
100084,C0832,2024-01-05,Mouse,3,25,COMPLETED
100085,C0429,2024-02-25,Monitor,3,300,COMPLETED
100086,C0852,2024-02-04,Monitor,1,300,COMPLETED
100087,C0518,2024-01-31,Monitor,1,300,COMPLETED
100088,C0709,2024-01-23,Headphones,1,150,COMPLETED
100089,C0410,2024-04-07,Laptop,2,1200,COMPLETED
100090,C0833,2024-03-20,Monitor,2,300,CANCELLED
100091,C0333,2024-01-10,Mouse,3,25,COMPLETED
100092,C0070,2024-02-17,Keyboard,3,75,COMPLETED
100093,C0044,2024-04-19,Monitor,3,300,COMPLETED
100094,C0138,2024-03-22,Mouse,1,25,PENDING
100095,C0550,2024-04-12,Keyboard,2,75,COMPLETED
100096,C0794,2024-01-16,Mouse,1,25,PENDING
100097,C0346,2024-04-30,Monitor,3,300,COMPLETED
100098,C0133,2024-04-20,Monitor,3,300,COMPLETED
100099,C0199,2024-01-02,Mouse,1,25,PENDING
100100,C0916,2024-04-26,Monitor,1,300,COMPLETED
100101,C0224,2024-04-16,Mouse,2,25,COMPLETED
100102,C0838,2024-02-09,Headphones,1,150,COMPLETED
100103,C0629,2024-04-01,Mouse,2,25,COMPLETED
100104,C0996,2024-01-11,Laptop,2,1200,COMPLETED
100105,C0514,2024-02-18,Mouse,2,25,COMPLETED
100106,C0167,2024-02-29,Laptop,1,1200,COMPLETED
100107,C0942,2024-01-16,Monitor,2,300,COMPLETED
100108,C0051,2024-02-05,Laptop,1,1200,COMPLETED
100109,C0079,2024-03-30,Laptop,3,1200,COMPLETED
100110,C0362,2024-04-24,Laptop,2,1200,COMPLETED
100111,C0873,2024-03-15,Keyboard,1,75,COMPLETED
100112,C0764,2024-04-24,Keyboard,1,75,COMPLETED
100113,C0804,2024-01-05,Keyboard,2,75,COMPLETED
100114,C0020,2024-02-12,Headphones,3,150,CANCELLED
100115,C0783,2024-04-23,Laptop,1,1200,COMPLETED
100116,C0480,2024-04-20,Keyboard,3,75,COMPLETED
100117,C0391,2024-02-26,Headphones,2,150,COMPLETED
100118,C0042,2024-02-14,Keyboard,2,75,COMPLETED
100119,C0793,2024-04-01,Keyboard,3,75,COMPLETED
100120,C0344,2024-03-31,Headphones,3,150,COMPLETED
100121,C0262,2024-02-19,Monitor,2,300,COMPLETED
100122,C0764,2024-01-22,Laptop,1,1200,COMPLETED
100123,C0771,2024-02-02,Keyboard,3,75,PENDING
100124,C0985,2024-04-25,Mouse,2,25,CANCELLED
100125,C0813,2024-01-04,Headphones,1,150,COMPLETED
